Lon Lat Los(m) wt E N U
-117.736528 35.858750 0.598877 1.000000 -0.628468 -0.111706 0.769772
-117.736528 35.840972 0.594467 1.000000 -0.628168 -0.111684 0.770021
-117.736528 35.823194 0.543194 1.000000 -0.627865 -0.111662 0.770271
-117.736528 35.805417 0.483343 1.000000 -0.627588 -0.111644 0.770499
-117.736528 35.787639 0.422157 1.000000 -0.627316 -0.111627 0.770723
-117.736528 35.769861 0.361391 1.000000 -0.627043 -0.111609 0.770948
-117.736528 35.752083 0.300275 1.000000 -0.626770 -0.111592 0.771172
-117.736528 35.734306 0.256437 1.000000 -0.626497 -0.111574 0.771397
-117.736528 35.716528 0.216027 1.000000 -0.626227 -0.111558 0.771619
-117.736528 35.698750 0.174714 1.000000 -0.625960 -0.111541 0.771838
-117.736528 35.680972 0.151871 1.000000 -0.625694 -0.111525 0.772055
-117.736528 35.663194 0.130836 1.000000 -0.625427 -0.111508 0.772274
-117.736528 35.645417 0.110066 1.000000 -0.625158 -0.111491 0.772494
-117.736528 35.627639 0.089169 1.000000 -0.624891 -0.111475 0.772713
-117.736528 35.609861 0.067431 1.000000 -0.624625 -0.111458 0.772930
-117.736528 35.592083 0.046845 1.000000 -0.624364 -0.111443 0.773143
-117.736528 35.574306 0.030233 1.000000 -0.624105 -0.111427 0.773354
-117.718750 35.947639 -0.010711 1.000000 -0.631046 -0.111888 0.767634
-117.718750 35.929861 -0.034065 1.000000 -0.630763 -0.111870 0.767869
-117.718750 35.912083 -0.056007 1.000000 -0.630482 -0.111851 0.768102
-117.718750 35.876528 0.510286 1.000000 -0.629974 -0.111824 0.768524
-117.718750 35.858750 0.697671 1.000000 -0.629717 -0.111810 0.768736
-117.718750 35.840972 0.679330 1.000000 -0.629414 -0.111788 0.768987
-117.718750 35.823194 0.600801 1.000000 -0.629119 -0.111767 0.769231
-117.718750 35.805417 0.530243 1.000000 -0.628846 -0.111750 0.769457
-117.718750 35.787639 0.466017 1.000000 -0.628575 -0.111734 0.769681
-117.718750 35.769861 0.389649 1.000000 -0.628303 -0.111717 0.769906
-117.718750 35.752083 0.325497 1.000000 -0.628031 -0.111700 0.770130
-117.718750 35.734306 0.276685 1.000000 -0.627759 -0.111682 0.770354
-117.718750 35.716528 0.231769 1.000000 -0.627487 -0.111665 0.770578
-117.718750 35.698750 0.190621 1.000000 -0.627223 -0.111650 0.770796
-117.718750 35.680972 0.164582 1.000000 -0.626959 -0.111634 0.771013
-117.718750 35.663194 0.140591 1.000000 -0.626692 -0.111617 0.771232
-117.718750 35.645417 0.118951 1.000000 -0.626424 -0.111601 0.771452
-117.718750 35.627639 0.095703 1.000000 -0.626158 -0.111585 0.771671
-117.718750 35.609861 0.074766 1.000000 -0.625895 -0.111569 0.771886
-117.718750 35.592083 0.054125 1.000000 -0.625636 -0.111554 0.772098
-117.718750 35.574306 0.037408 1.000000 -0.625387 -0.111540 0.772302
-117.718750 35.556528 0.016821 1.000000 -0.625134 -0.111526 0.772509
-117.718750 35.538750 0.004882 1.000000 -0.624879 -0.111512 0.772717
-117.718750 35.520972 -0.008277 1.000000 -0.624633 -0.111498 0.772917
-117.718750 35.503194 -0.015459 1.000000 -0.624395 -0.111487 0.773112
-117.700972 35.947639 -0.014323 1.000000 -0.632308 -0.111994 0.766579
-117.700972 35.929861 -0.044167 1.000000 -0.632030 -0.111976 0.766811
-117.700972 35.912083 -0.092792 1.000000 -0.631747 -0.111958 0.767047
-117.700972 35.894306 -0.184425 1.000000 -0.631465 -0.111940 0.767282
-117.700972 35.876528 0.142418 1.000000 -0.631213 -0.111926 0.767491
-117.700972 35.858750 0.773047 1.000000 -0.630963 -0.111914 0.767698
-117.700972 35.840972 0.730898 1.000000 -0.630660 -0.111892 0.767951
-117.700972 35.823194 0.634387 1.000000 -0.630371 -0.111872 0.768191
-117.700972 35.805417 0.559509 1.000000 -0.630099 -0.111856 0.768416
-117.700972 35.787639 0.491726 1.000000 -0.629829 -0.111839 0.768640
-117.700972 35.769861 0.410571 1.000000 -0.629559 -0.111823 0.768864
-117.700972 35.752083 0.342969 1.000000 -0.629288 -0.111806 0.769087
-117.700972 35.734306 0.293221 1.000000 -0.629018 -0.111789 0.769311
-117.700972 35.716528 0.245555 1.000000 -0.628746 -0.111772 0.769535
-117.700972 35.698750 0.201954 1.000000 -0.628481 -0.111757 0.769755
-117.700972 35.680972 0.169287 1.000000 -0.628217 -0.111741 0.769972
-117.700972 35.663194 0.147865 1.000000 -0.627951 -0.111725 0.770191
-117.700972 35.645417 0.131724 1.000000 -0.627684 -0.111709 0.770411
-117.700972 35.627639 0.108155 1.000000 -0.627418 -0.111693 0.770630
-117.700972 35.609861 0.086488 1.000000 -0.627153 -0.111677 0.770848
-117.700972 35.592083 0.059139 1.000000 -0.626892 -0.111661 0.771063
-117.700972 35.574306 0.034953 1.000000 -0.626652 -0.111650 0.771260
-117.700972 35.556528 0.020935 1.000000 -0.626426 -0.111640 0.771445
-117.700972 35.538750 0.000587 1.000000 -0.626167 -0.111625 0.771657
-117.700972 35.520972 -0.010735 1.000000 -0.625923 -0.111613 0.771857
-117.700972 35.503194 -0.025553 1.000000 -0.625680 -0.111600 0.772055
-117.683194 35.947639 -0.001413 1.000000 -0.633574 -0.112099 0.765518
-117.683194 35.929861 -0.034550 1.000000 -0.633299 -0.112083 0.765748
-117.683194 35.912083 -0.102868 1.000000 -0.633016 -0.112065 0.765985
-117.683194 35.894306 -0.190684 1.000000 -0.632722 -0.112044 0.766231
-117.683194 35.876528 -0.260853 1.000000 -0.632459 -0.112030 0.766450
-117.683194 35.858750 0.212464 1.000000 -0.632204 -0.112016 0.766662
-117.683194 35.840972 0.726906 1.000000 -0.631904 -0.111995 0.766912
-117.683194 35.823194 0.628263 1.000000 -0.631620 -0.111976 0.767149
-117.683194 35.805417 0.564678 1.000000 -0.631349 -0.111960 0.767375
-117.683194 35.787639 0.510890 1.000000 -0.631080 -0.111944 0.767598
-117.683194 35.769861 0.446167 1.000000 -0.630812 -0.111928 0.767821
-117.683194 35.752083 0.362725 1.000000 -0.630542 -0.111912 0.768044
-117.683194 35.734306 0.312179 1.000000 -0.630273 -0.111895 0.768268
-117.683194 35.716528 0.261867 1.000000 -0.630003 -0.111879 0.768492
-117.683194 35.698750 0.211795 1.000000 -0.629736 -0.111863 0.768713
-117.683194 35.680972 0.176797 1.000000 -0.629472 -0.111847 0.768931
-117.683194 35.663194 0.156820 1.000000 -0.629208 -0.111832 0.769150
-117.683194 35.645417 0.146445 1.000000 -0.628941 -0.111816 0.769370
-117.683194 35.627639 0.122337 1.000000 -0.628675 -0.111800 0.769590
-117.683194 35.609861 0.093556 1.000000 -0.628407 -0.111783 0.769811
-117.683194 35.592083 0.067089 1.000000 -0.628145 -0.111768 0.770027
-117.683194 35.574306 0.036593 1.000000 -0.627919 -0.111759 0.770213
-117.683194 35.556528 0.017152 1.000000 -0.627710 -0.111753 0.770384
-117.683194 35.538750 -0.004122 1.000000 -0.627452 -0.111738 0.770596
-117.683194 35.520972 -0.019033 1.000000 -0.627202 -0.111725 0.770801
-117.683194 35.503194 -0.038255 1.000000 -0.626951 -0.111711 0.771008
-117.665417 35.947639 0.010368 1.000000 -0.634842 -0.112205 0.764451
-117.665417 35.929861 -0.015977 1.000000 -0.634571 -0.112189 0.764679
-117.665417 35.912083 -0.062312 1.000000 -0.634288 -0.112171 0.764916
-117.665417 35.894306 -0.156304 1.000000 -0.633989 -0.112150 0.765167
-117.665417 35.876528 -0.231603 1.000000 -0.633708 -0.112133 0.765402
-117.665417 35.858750 -0.321820 1.000000 -0.633431 -0.112115 0.765634
-117.665417 35.840972 0.453951 1.000000 -0.633145 -0.112097 0.765873
-117.665417 35.823194 0.530864 1.000000 -0.632867 -0.112079 0.766106
-117.665417 35.805417 0.525471 1.000000 -0.632595 -0.112063 0.766333
-117.665417 35.787639 0.517174 1.000000 -0.632327 -0.112047 0.766556
-117.665417 35.769861 0.520540 1.000000 -0.632059 -0.112032 0.766779
-117.665417 35.752083 0.379559 1.000000 -0.631791 -0.112016 0.767002
-117.665417 35.734306 0.349896 1.000000 -0.631523 -0.112000 0.767226
-117.665417 35.716528 0.275631 1.000000 -0.631254 -0.111984 0.767449
-117.665417 35.698750 0.229039 1.000000 -0.630987 -0.111968 0.767671
-117.665417 35.680972 0.191445 1.000000 -0.630724 -0.111953 0.767890
-117.665417 35.663194 0.169583 1.000000 -0.630460 -0.111937 0.768108
-117.665417 35.645417 0.160320 1.000000 -0.630195 -0.111922 0.768328
-117.665417 35.627639 0.142169 1.000000 -0.629928 -0.111906 0.768549
-117.665417 35.609861 0.119023 1.000000 -0.629660 -0.111890 0.768771
-117.665417 35.592083 0.080800 1.000000 -0.629404 -0.111875 0.768983
-117.665417 35.574306 0.040390 1.000000 -0.629210 -0.111872 0.769142
-117.665417 35.556528 0.002716 1.000000 -0.628969 -0.111860 0.769341
-117.665417 35.538750 -0.017649 1.000000 -0.628740 -0.111851 0.769529
-117.665417 35.520972 -0.030357 1.000000 -0.628462 -0.111833 0.769759
-117.665417 35.503194 -0.042251 1.000000 -0.628201 -0.111817 0.769974
-117.647639 35.947639 0.017381 1.000000 -0.636102 -0.112309 0.763387
-117.647639 35.929861 -0.008068 1.000000 -0.635828 -0.112292 0.763618
-117.647639 35.912083 -0.045938 1.000000 -0.635546 -0.112275 0.763856
-117.647639 35.894306 -0.113959 1.000000 -0.635249 -0.112255 0.764106
-117.647639 35.876528 -0.195379 1.000000 -0.634958 -0.112235 0.764350
-117.647639 35.858750 -0.301416 1.000000 -0.634671 -0.112217 0.764591
-117.647639 35.840972 -0.389720 1.000000 -0.634389 -0.112199 0.764828
-117.647639 35.823194 0.133746 1.000000 -0.634110 -0.112181 0.765062
-117.647639 35.805417 0.465070 1.000000 -0.633837 -0.112165 0.765291
-117.647639 35.787639 0.556864 1.000000 -0.633570 -0.112150 0.765514
-117.647639 35.769861 0.543683 1.000000 -0.633303 -0.112134 0.765737
-117.647639 35.752083 0.377684 1.000000 -0.633036 -0.112119 0.765960
-117.647639 35.734306 0.360815 1.000000 -0.632768 -0.112103 0.766183
-117.647639 35.716528 0.305275 1.000000 -0.632501 -0.112087 0.766407
-117.647639 35.698750 0.261841 1.000000 -0.632235 -0.112072 0.766628
-117.647639 35.680972 0.216751 1.000000 -0.631972 -0.112057 0.766848
-117.647639 35.663194 0.180795 1.000000 -0.631709 -0.112042 0.767066
-117.647639 35.645417 0.187627 1.000000 -0.631445 -0.112027 0.767285
-117.647639 35.627639 0.174305 1.000000 -0.631179 -0.112011 0.767507
-117.647639 35.609861 0.152589 1.000000 -0.630916 -0.111996 0.767725
-117.647639 35.592083 0.092330 1.000000 -0.630667 -0.111983 0.767931
